colextarget	copair	meaning	signal	sender	row	isburnin	condition	dyad	meaningpair	row2
no	zone	trip	soqa	1_2	46	FALSE	first_target	1	trip-zone	-0.328358208955224
no	abdomen	area	huwo	1_1	47	FALSE	first_target	1	abdomen-area	-0.313432835820896
no	area	abdomen	huwo	1_1	51	FALSE	first_target	1	abdomen-area	-0.253731343283582
no	belly	zone	wusa	1_1	53	FALSE	first_target	1	belly-zone	-0.223880597014925
no	area	abdomen	huwo	1_2	56	FALSE	first_target	1	abdomen-area	-0.17910447761194
no	dentist	belly	leho	1_1	59	FALSE	first_target	1	belly-dentist	-0.134328358208955
no	grade	area	huwo	1_2	60	FALSE	first_target	1	area-grade	-0.119402985074627
no	zone	belly	qolu	1_1	63	FALSE	first_target	1	belly-zone	-0.0746268656716418
no	dentist	journey	leho	1_1	65	FALSE	first_target	1	dentist-journey	-0.0447761194029851
no	abdomen	area	huwo	1_1	67	FALSE	first_target	1	abdomen-area	-0.0149253731343284
no	grade	abdomen	huwo	1_2	70	FALSE	first_target	1	abdomen-grade	0.0298507462686567
no	music	trip	niwa	1_2	72	FALSE	first_target	1	music-trip	0.0597014925373134
no	music	journey	niwa	1_1	73	FALSE	first_target	1	journey-music	0.0746268656716418
no	journey	belly	leho	1_1	75	FALSE	first_target	1	belly-journey	0.104477611940299
no	abdomen	area	huwo	1_2	76	FALSE	first_target	1	abdomen-area	0.119402985074627
no	area	abdomen	huwo	1_2	78	FALSE	first_target	1	abdomen-area	0.149253731343284
no	belly	journey	leho	1_1	79	FALSE	first_target	1	belly-journey	0.164179104477612
no	belly	zone	qolu	1_1	81	FALSE	first_target	1	belly-zone	0.194029850746269
no	grade	abdomen	huwo	1_1	83	FALSE	first_target	1	abdomen-grade	0.223880597014925
no	journey	belly	wusa	1_2	84	FALSE	first_target	1	belly-journey	0.238805970149254
no	zone	abdomen	qolu	1_1	85	FALSE	first_target	1	abdomen-zone	0.253731343283582
no	tax	trip	soqa	1_1	87	FALSE	first_target	1	tax-trip	0.283582089552239
no	abdomen	journey	huwo	1_1	89	FALSE	first_target	1	abdomen-journey	0.313432835820896
no	grade	journey	huwo	1_2	90	FALSE	first_target	1	grade-journey	0.328358208955224
no	grade	area	huwo	1_2	96	FALSE	first_target	1	area-grade	0.417910447761194
no	journey	abdomen	huwo	1_1	101	FALSE	first_target	1	abdomen-journey	0.492537313432836
no	tax	zone	soqa	1_2	102	FALSE	first_target	1	tax-zone	0.507462686567164
no	dentist	belly	leho	1_2	104	FALSE	first_target	1	belly-dentist	0.537313432835821
no	journey	belly	leho	1_1	105	FALSE	first_target	1	belly-journey	0.552238805970149
no	zone	trip	soqa	1_2	106	FALSE	first_target	1	trip-zone	0.567164179104478
no	belly	journey	leho	1_2	110	FALSE	first_target	1	belly-journey	0.626865671641791
no	belly	journey	leho	1_1	111	FALSE	first_target	1	belly-journey	0.641791044776119
no	grade	area	huwo	1_1	113	FALSE	first_target	1	area-grade	0.671641791044776
no	tax	trip	soqa	1_1	117	FALSE	first_target	1	tax-trip	0.73134328358209
no	grade	area	huwo	1_2	126	FALSE	first_target	1	area-grade	0.865671641791045
no	zone	abdomen	qolu	1_2	128	FALSE	first_target	1	abdomen-zone	0.895522388059702
yes	abdomen	belly	qolu	1_2	134	FALSE	first_target	1	abdomen-belly	0.985074626865672
no	grade	area	huwo	1_1	135	FALSE	first_target	1	area-grade	1
no	sunset	zone	naqe	2_2	46	FALSE	first_baseline	2	sunset-zone	-0.328358208955224
no	sunset	area	naqe	2_1	47	FALSE	first_baseline	2	area-sunset	-0.313432835820896
yes	purse	bag	lemo	2_1	49	FALSE	first_baseline	2	bag-purse	-0.283582089552239
yes	author	creator	hufo	2_2	50	FALSE	first_baseline	2	author-creator	-0.26865671641791
yes	creator	author	hete	2_1	51	FALSE	first_baseline	2	author-creator	-0.253731343283582
